session_id,role,content,sequence_id,annotator[consensus][0]TUTOR_MOVE,annotator[consensus][1]TUTOR_MOVE
10376,student,Hello!,0,None,None
10376,student,I need some,1,None,None
10376,student,review,2,None,None
10376,student,for ACT and all,3,None,None
10376,student,I want to begin with,4,None,None
10376,student,<GRADE_LEVEL>,5,None,None
10376,student,ca we work throug some problems,6,None,None
10376,student,i will paste some probelms into chat,7,None,None
10376,volunteer,Yes!,8,None,None
10376,volunteer,Sounds good!,9,None,None
10376,student,A,10,None,None
10376,student,"A rectangle has a perimeter of 36 cm. If the length is 10 cm, what is the width?",11,None,None
10376,student,workin on this,12,None,None
10376,volunteer,Sounds good!,13,None,None
10376,volunteer,Let me know what you get.,14,PROMPTING_NEXT_STEP,None
10376,volunteer,Perfect!,15,FEEDBACK_CORRECT,None
10376,student,"A right triangle has one leg that’s 6 cm and another leg that’s 8 cm.
What’s the length of the hypotenuse?",16,None,None
10376,student,"c=100
​=10",17,None,None
10376,volunteer,That is correct!,18,FEEDBACK_CORRECT,None
10376,student,Okay,19,None,None
10376,student,"A rectangle has a perimeter of 36 cm. If the length is 10 cm, what is the width?",20,None,None
10376,volunteer,Does this make sense?,21,PROBING_UNDERSTAND,None
86795,volunteer,Hello!,0,None,None
86795,student,"Hi , I'm in a rush, my bedtime is around 8 , & I need to go to another tutor so can we try to hurry",1,None,None
86795,volunteer,What do u need help in?,2,ASKING_TO_CLARIFY_CONTEXT,None
86795,student,I'l take a pic,3,None,None
86795,volunteer,Great!,4,None,None
86795,student,<PERSON> no explaining js help my WiFi is really reallyy slow,5,None,None
86795,student,js help,6,None,None
86795,volunteer,I cant see the picture u didn’t send it.,7,TECHNICAL_ISSUES,None
86795,student,Did it come thru,8,None,None
86795,volunteer,"Not, yet. Must be the slow WiFi you were talking about.",9,TECHNICAL_ISSUES,None
86795,student,Yea,10,None,None
86795,student,Let me js type it,11,None,None
86795,volunteer,Okay!,12,None,None
86795,student,Select all the equations that have graphs with the same y-intercept.,13,None,None
86795,student,A. Y= 3x - 8,14,None,None
86795,student,B. Y= 3x - 9,15,None,None
86795,student,C. Y= 3x + 8,16,None,None
86795,student,<NRP> Y= 5x - 8,17,None,None
86795,student,E. Y= 2x -8,18,None,None
86795,student,F. Y= 1/3x - 8,19,None,None
86795,student,Remember I have to go to bed soon & my WiFi is realy sloww so no explaining please,20,None,None
86795,volunteer,"C, d, and E because it’s all -8",21,GIVING_ANSWER,None
86795,student,And have to go to another tutor 😭,22,None,None
86795,student,Ok,23,None,None
86795,student,Wait,24,None,None
86795,volunteer,"Wait I misspoke, a,b, c",25,CORRECTING_OWN_ERROR,None
86795,volunteer,wait disregard everything I said.,26,CORRECTING_OWN_ERROR,None
86795,student,Omg.,27,None,None
86795,student,"So a, b, & c ?",28,None,None
86795,volunteer,"A, E, D",29,GIVING_ANSWER,None
86795,volunteer,Final answer.,30,None,None
86795,student,U sure ?,31,None,None
86795,volunteer,Yes,32,None,None
86795,student,"Ok, next thing",33,None,None
86795,student,Oh look it loaded,34,None,None
86795,volunteer,Not on my end.,35,TECHNICAL_ISSUES,None
86795,student,Are u sure ? Look again.,36,None,None
86795,student,"Aright, forget it. Next thing",37,None,None
86795,volunteer,Yes I’m positive it’s not there.,38,TECHNICAL_ISSUES,None
86795,student,"Alright, so a Cable company charges $70 per month for cable service to existing customers.                
                              a. Find linear equation representingg the relationship between x, the number of months of service, and y, the total amount paid in dollars by an existing customer",39,None,None
86795,volunteer,Y=70x,40,GIVING_ANSWER,None
86795,student,So write that for a,41,None,None
86795,volunteer,There is no mention of a in the question.,42,ASKING_TO_CLARIFY_CONTEXT,None
86795,student,"Um I'm talking about the parts to the problem, this is problem a.",43,None,None
86795,student,"Ok, nevermind I wrote it, next one",44,None,None
86795,student,Is,45,None,None
86795,volunteer,I thought you were reffering to a variable called a. My apologies,46,None,None
86795,student,Ok not it's fine!,47,None,None
86795,volunteer,Do you want me to explain the answer and you can take a screenshot to read later if you don’t have time right now?,48,None,None
86795,student,"Next one, <PERSON> For new customers, there is an additional one-time $100 service fee. Repeat the previous problem for new customers",49,None,None
86795,volunteer,Y=70x+100,50,GIVING_ANSWER,None
86795,student,"Ok, great. C. When two equations are graphed in the coordinate plane, how are they related to each other geometrically ?",51,None,None
86795,volunteer,They are parallel.,52,GIVING_ANSWER,None
86795,student,"<PERSON>! Goodd 4. A mountain roads 5 miles long & gain elevation at a constant rate. After 2 miles, <LOCATION>",53,None,None
86795,student,"-the elevation <COURSE> feet above sea level. After 4 miles, the elevation <COURSE> feet above sea level.",54,None,None
86795,student,Find the elevation of the road,55,None,None
86795,student,At the point where the road begins,56,None,None
86795,student,*begins,57,None,None
86795,volunteer,4800 feet,58,GIVING_ANSWER,None
86795,student,"Ok,  describe where you would see the point in part (a) on graph where y represents the elevation in feet and x represents the distance along the road in miles",59,None,None
86795,student,...?..,60,None,None
86795,volunteer,"-14,800",61,GIVING_ANSWER,None
86795,volunteer,"no it’s (0,4800)",62,GIVING_ANSWER,None
86795,volunteer,sorry,63,None,None
86795,student,It's okay.,64,None,None
86795,student,Last page.,65,None,None
86795,student,"Ok, I'll say done when I'm done explaining",66,None,None
86795,volunteer,Ok,67,None,None
86795,student,"<PERSON> hat, never mind thanks for your time.",68,None,None
86795,student,*what,69,None,None
86795,volunteer,Of course!,70,None,None
86795,volunteer,Bye now!,71,None,None
86795,student,Bye,72,None,None
2937,volunteer,Hey! How can I help you today?,0,None,None
2937,student,can we work on problems involving rectangles,1,None,None
2937,volunteer,Sure! Sounds good,2,None,None
2937,volunteer,"Are we looking at area, perimeter, etc?",3,ASKING_TO_CLARIFY_CONTEXT,None
2937,student,yes,4,None,None
2937,volunteer,"Alright!
Do you have an example problem you can put up?",5,ASKING_TO_CLARIFY_CONTEXT,None
2937,student,no,6,None,None
2937,volunteer,Okay! Ill go ahead and make one,7,None,None
2937,volunteer,Okay! Are you familiar with area and perimeter in any way?,8,PROBING_PRIOR_KNOWLEDGE,None
2937,student,yes,9,None,None
